"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REPS2",53.1439615995098,1.23013251686063,0.42567385791834,2.88984745945244,0.00385428802332613,0.00947608429505196
"DLX4",214.807593380183,0.781538765210202,0.272770381677526,2.8651892496677,0.00416760090402469,0.0100022421696593
"CHST6",30.7757097259064,1.39998046084148,0.492155178353483,2.8445915483916,0.00444684050798593,0.0105319906768088
"HR",8.10113735038817,3.10629919992217,1.10033408573748,2.82305096259943,0.00475690095071789,0.0110351806724752
"DUOX2",14.4337379289265,1.96956042558506,0.698086710552006,2.82136931675386,0.00478191162473925,0.0110351806724752
"URAHP",6.10483434391755,3.76287987375099,1.34551041015521,2.79661892271567,0.00516404023008739,0.0117661676128573
"HTRA2",464.10892192496,-0.735158485284341,0.263717205970961,-2.78767736286912,0.00530873854581778,0.01194466172809
"RRP12",2309.36268719143,-0.849177924293495,0.305853020830408,-2.77642483957795,0.00549603407041939,0.0122134090453764
"INPPL1",2525.92644162065,-0.589654167325316,0.215656509976035,-2.7342284607631,0.00625266440513735,0.0137253608893259
"PEX26",954.093675174408,-0.557438061110345,0.208110376600189,-2.6785692775967,0.00739374353974007,0.0160346245440146
"CORO2B",17.2100981155734,1.73005609286189,0.647979750881955,2.66992308094063,0.00758686248682381,0.0162575624717653
"HTR1D",23.5164435595399,1.37648392993258,0.520729653429629,2.64337535008192,0.00820839831414263,0.0173824905475962
"PAPLN",18.2722468942222,1.87781867707967,0.718897613159452,2.61208083419129,0.00899929731017249,0.018835738556175
"C3orf70",3.98985318578399,4.05113276531799,1.55473197267452,2.60567920163696,0.00916922948931135,0.018970819633058
"ICAM5",88.0804847237786,1.01358666983049,0.396397817982007,2.55699356517774,0.0105581170591193,0.0215961485300168
"KIAA1324L",571.479741904176,0.572461153076173,0.226442092119496,2.52806864535627,0.011469192490637,0.023196119643985
"FGD5-AS1",2096.95416653908,-0.544309135167179,0.216414943152257,-2.51511807474513,0.0118992524695086,0.0235369829067203
"WDR31",127.849533731627,0.766957216287118,0.30470199357297,2.51707318122107,0.0118334247626797,0.0235369829067203
"MGLL",10.2533117018139,1.93111458659642,0.777462350647065,2.48386894232138,0.0129963629072516,0.0254276665576661
"SRFBP1",183.411753937711,-0.892212176358513,0.360531406375296,-2.47471415965843,0.013334284887201,0.0258082933300664
"MDFI",128.079304135664,0.79867783147816,0.323724554702014,2.4671524599465,0.0136192356416119,0.0260793873988313
"RAPGEF4-AS1",2.39935843452365,4.36173806873767,1.77721331965278,2.45425690911985,0.0141176080146581,0.0267491520277733
"DLL1",41.7669509038214,1.11982472565288,0.458217133848164,2.44387353272552,0.0145305190890909,0.0272447232920454
"FBXO33",227.949038016852,-0.691704499299382,0.28407600446903,-2.43492758422964,0.0148947702528691,0.027639779850685
"SLC7A8",149.054188642151,0.831384351750088,0.342240776464656,2.42923815314551,0.0151305898923187,0.0277908793940548
"ZIC2",129.163079083684,-0.690449296122854,0.288900307419709,-2.38992233095752,0.016851936174002,0.030556518551109
"MEI1",12.0140313970477,1.72713053852852,0.7234871254246,2.38723050878743,0.016975843639505,0.030556518551109
"SDR9C7",2.3639573365681,4.34242287682165,1.82629532469512,2.37772216689356,0.0174199456541401,0.0310454477004477
"HLA-DMA",30.5730308085048,1.13520474607434,0.482748526861878,2.35154471304921,0.0186956425121446,0.0329923103155492
"PABPC1L",5055.39396913372,0.52464887045343,0.226191614229309,2.31948859926147,0.0203685585903614,0.0355955392841268
"MOCS3",318.39323266732,-0.598516036965381,0.258563571734485,-2.31477324106579,0.0206253450918262,0.03569771265893
"MIB2",444.27009365645,0.523521100262374,0.227612597934252,2.30005327039761,0.0214452022431029,0.0367632038453192
"C3orf80",6.60833731536144,2.75033770843893,1.22058820390378,2.2532887829348,0.0242409465548181,0.0407791624286659
"DLL4",11.2168116639612,1.81762319612853,0.805735775759541,2.25585514608075,0.0240797043755804,0.0407791624286659
"FBXO32",21.7762432165758,1.16703325222543,0.526975544035523,2.21458711971416,0.0267884169054119,0.0446473615090198
"PAQR8",255.280222773487,0.573741287866129,0.26306290054485,2.18100418826755,0.0291831067011448,0.0481385323892771
"DUSP8P3",4.98410639223729,2.76208631532879,1.26826902706577,2.17783944603541,0.0294179920156694,0.0481385323892771
"C14orf132",701.295489271154,0.663357531484212,0.30604741772597,2.16749919477567,0.0301968110250463,0.0489678016622373
"BCDIN3D-AS1",37.1484774214459,0.890217064951054,0.412075803099679,2.16032355759485,0.0307476305244467,0.0494158347714322
"NAALAD2",7.0238466304934,2.46216211281956,1.15504504359678,2.13165895691171,0.0330348932033081,0.052621953775181
"CT45A10",20.8648239491483,-1.16181713643353,0.556142415363683,-2.08906406765212,0.0367019563501969,0.0577236581427127
"QPCT",24.6001543686942,1.14859148827318,0.550328650496851,2.08710102088307,0.0368790038133998,0.0577236581427127
"C3orf52",86.5575510543186,0.655625661721262,0.324724440952255,2.01902160428282,0.0434849740743895,0.0674766839085354
"TIMP3",408.44419492587,0.544116334534143,0.270263022558328,2.013284427087,0.0440847157069079,0.067822639549089
"MST1L",34.5586593592658,0.852375765318105,0.425981768123576,2.00096771529159,0.0453958692017847,0.0692479360705191
"FBXO31",1100.78799924401,-0.513682630308758,0.260847039954443,-1.96928679121095,0.0489201671348285,0.0739968914644465
"HS6ST3",63.9667521681741,0.724066230054787,0.36925891343039,1.96086324180576,0.0498949782850227,0.0748424674275341
"VPS13B",1189.45080130618,-0.544263499880352,0.279631319886221,-1.94636101600424,0.0516113889628802,0.0767772728373424
"PAQR5",142.909449528456,0.761144069298552,0.39717775795356,1.9163814036826,0.0553165661051189,0.0816146057288639
"IGF1R",428.627057026593,0.490595618022687,0.260213166071886,1.88536047360169,0.0593811866822333,0.086899297583756
"ZIC1",14.1676359157293,-1.16953732344103,0.642545310617108,-1.82016319178767,0.0687341566682403,0.0991154636961446
"ACOT11",25.4818919892049,0.934359244294631,0.513516020863444,1.81953280196315,0.0688301831223226,0.0991154636961446
"F5",16.6327189548026,1.10978836930637,0.614440045929794,1.80617844923665,0.0708904700454773,0.101272100064968
"HLA-DOA",29.8748745028193,0.938332349278802,0.526255891546439,1.78303438375093,0.0745807063988992,0.105704938203164
"RBMS2P1",8.17826263843394,-1.47060764569789,0.849005160870285,-1.73215395321086,0.0832461550675507,0.116157425675652
"CORO2A",241.646257730185,0.547544655779412,0.316032977793427,1.73255544279721,0.0831747146445844,0.116157425675652
"ZHX2",142.651547714255,0.586572126491173,0.34445296257393,1.70290922193847,0.0885850579646669,0.121719926974351
"IGFL4",16.2057048519893,1.07787859970049,0.632374106904593,1.70449515236573,0.0882886209371022,0.121719926974351
"FAM91A1",822.386831558902,-0.484967939358339,0.289678474251667,-1.67415939555456,0.0940992771839175,0.126351918060841
"LBHD1",202.454667855072,0.60431172050004,0.359610074472049,1.68046382289829,0.0928671073931922,0.126351918060841
